practice,city,state,zip,consolidator,investor
Companion Pet Clinic of Arizona,Gold Canyon,AZ,85118,PetVet Care Centers,KKR
CityVet - Goodyear,Goodyear,AZ,85395,CityVet,RiverGlade Capital
Dermatology for Animals - Goodyear,Goodyear,AZ,85338,Thrive Pet Healthcare,TSG Consumer Partners
Goodyear,Goodyear,AZ,85338,Lovet Pet Health,The Aspen Group
Legacy Animal Hospital,Goodyear,AZ,85338,Heartland Veterinary Partners,Gryphon Investors
Livewell Animal Urgent Care of Goodyear,Goodyear,AZ,85395,Mission Pet Health,Silver Lake and Shore Capital Partners
Sarival,Goodyear,AZ,85338,Lovet Pet Health,The Aspen Group
Duval Animal Hospital,Green Valley,AZ,85614,VetCor,Harvest Partners
Cerbat Cliffs Animal Hospital,Kingman,AZ,86409,PetVet Care Centers,KKR
Kingman Animal Hospital,Kingman,AZ,86409,Western Veterinary Partners,Tyree & D'Angelo Partners
Lange Veterinary Center,Lake Havasu City,AZ,86403,NVA,JAB Holdings
Novak Animal Care Center,Lake Havasu City,AZ,86403,NVA,JAB Holdings
Aspen Ridge Animal Hospital,Lakeside,AZ,85929,Heartland Veterinary Partners,Gryphon Investors
Dobbins Village Veterinary Hospital,Laveen Village,AZ,85339,Hippo Vet Group,DFW & Avante Capital Partners
Arizona Veterinary Emergency & Critical Care Center Buckeye (AVECCC),Litchfield Park,AZ,85340,Ethos Veterinary Health,JAB Holdings
Dreaming Summit Animal Hospital,Litchfield Park,AZ,85340,Mission Pet Health,Silver Lake and Shore Capital Partners
Dove Mountain Veterinary,Marana,AZ,85658,NVA,JAB Holdings
Vetco Total Care - Maricopa,Maricopa,AZ,85138,Vetco Total Care,Petco
4 Paws Pet Resort,Mesa,AZ,85205,NVA,JAB Holdings
Alta Mesa Animal Hospital,Mesa,AZ,85205,NVA,JAB Holdings
Augusta Ranch Animal Hospital,Mesa,AZ,85209,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Apache Junction,Mesa,AZ,85209,Banfield,Mars
Banfield Mesa,Mesa,AZ,85204,Banfield,Mars
Banfield Mesa E,Mesa,AZ,85209,Banfield,Mars
Banfield Mesa N,Mesa,AZ,85215,Banfield,Mars
Banfield Mesa NW,Mesa,AZ,85203,Banfield,Mars
Brown Road Animal Clinic,Mesa,AZ,85205,NVA,JAB Holdings
Desert Sun Animal Hospital,Mesa,AZ,85206,Mission Pet Health,Silver Lake and Shore Capital Partners
Doggie District - Mesa,Mesa,AZ,85206,NVA,JAB Holdings
GoodVets East Mesa,Mesa,AZ,85208,GoodVets,General Atlantic
Hippo Vet Group Mesa (coming soon),Mesa,AZ,85212,Hippo Vet Group,DFW & Avante Capital Partners
Lovet Dobson Ranch,Mesa,AZ,85202,Lovet Pet Health,The Aspen Group
Lovet Las Sendas,Mesa,AZ,85215,Lovet Pet Health,The Aspen Group
Low Cost Veterinary Clinic of Mesa,Mesa,AZ,85209,Hippo Vet Group,DFW & Avante Capital Partners
Neighborhood Vet Clinic,Mesa,AZ,85202,Hippo Vet Group,DFW & Avante Capital Partners
Noe's Ark Animal Hospital,Mesa,AZ,85213,Mission Pet Health,Silver Lake and Shore Capital Partners
Power Road Animal Hospital,Mesa,AZ,85209,Mission Pet Health,Silver Lake and Shore Capital Partners
Red Mountain Animal Hospital,Mesa,AZ,85215,NVA,JAB Holdings
Signal Butte,Mesa,AZ,85209,Lovet Pet Health,The Aspen Group
UrgentVet Mesa,Mesa,AZ,85208,American Veterinary Group,Oak Hill Capital
VCA Animal Referral and Emergency Center of Arizona,Mesa,AZ,85201,VCA,Mars
VCA Mesa Animal Hospital,Mesa,AZ,85201,VCA,Mars
Pusch Ridge Pet Clinic,Oro Valley,AZ,85755,NVA,JAB Holdings
UrgentVet Oro Valley,Oro Valley,AZ,85737,American Veterinary Group,Oak Hill Capital
VCA Northwest Animal Hospital - Oro Valley,Oro Valley,AZ,85737,VCA,Mars
Applewood Animal Hospital,Paradise Valley,AZ,85253,Mission Pet Health,Silver Lake and Shore Capital Partners
Payson Pet Care,Payson,AZ,85541,NVA,JAB Holdings
Arizona Veterinary Dental Specialists - Peoria,Peoria,AZ,85345,Thrive Pet Healthcare,TSG Consumer Partners
Arizona Veterinary Emergency and Critical Care Center – Peoria,Peoria,AZ,85345,Ethos Veterinary Health,JAB Holdings
Banfield Lake Pleasant,Peoria,AZ,85383,Banfield,Mars
Banfield Peoria W,Peoria,AZ,85345,Banfield,Mars
CityVet - Lone Mountain Veterinary Clinic & Urgent Care,Peoria,AZ,85383,CityVet,RiverGlade Capital
Hippo Vet Group Peoria (coming soon),Peoria,AZ,85373,Hippo Vet Group,DFW & Avante Capital Partners
Lovet Fletcher Heights,Peoria,AZ,85382,Lovet Pet Health,The Aspen Group
Lovet Roadrunner,Peoria,AZ,85381,Lovet Pet Health,The Aspen Group
Vistancia Animal Hospital,Peoria,AZ,85383,Companion Pet Partners,Cortec Group
Westbrook,Peoria,AZ,85382,Lovet Pet Health,The Aspen Group
Ahwatukee Animal Care Hospital,Phoenix,AZ,85044,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
All Creatures Animal Clinic,Phoenix,AZ,85032,NVA,JAB Holdings
Banfield Ahwatukee,Phoenix,AZ,85044,Banfield,Mars
Banfield Deer Valley,Phoenix,AZ,85027,Banfield,Mars
Banfield Desert Ridge,Phoenix,AZ,85050,Banfield,Mars
Banfield Paradise Valley,Phoenix,AZ,85028,Banfield,Mars
Banfield Phoenix (Spectrum Mall),Phoenix,AZ,85015,Banfield,Mars
Banfield Phoenix Biltmore,Phoenix,AZ,85016,Banfield,Mars
Banfield Phoenix N,Phoenix,AZ,85023,Banfield,Mars
Banfield Scottsdale N,Phoenix,AZ,85054,Banfield,Mars
