practice,city,state,zip,consolidator,investor
Towne Animal Clinic,Leesburg,VA,20176,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Animal Emergency Critical Care,Leesburg,VA,20176,VCA,Mars
VEG Leesburg,Leesburg,VA,20176,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Vetco Total Care - Leesburg,Leesburg,VA,20176,Vetco Total Care,Petco
Veterinary Surgical Centers - Leesburg,Leesburg,VA,20176,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Lakewood Animal Hospital (VA),Locust Grove,VA,22508,Veterinary Practice Partners,Audax Private Equity
Gunston Animal Hospital,Lorton,VA,22079,NVA,JAB Holdings
Animal Emergency and Critical Care,Lynchburg,VA,24501,Encore Vet Group,North Castle Partners
Peaks View Animal Hospital,Lynchburg,VA,24502,NVA,JAB Holdings
VCA Boonsboro Animal Hospital,Lynchburg,VA,24503,VCA,Mars
Banfield Manassas Bull Run,Manassas,VA,20109,Banfield,Mars
Independent Hill Veterinary Clinic,Manassas,VA,20112,NVA,JAB Holdings
MedVet Northern Virginia,Manassas,VA,20110,MedVet,Minority stake by Leonard Green & Partners
Signal Hill Animal Clinic,Manassas,VA,20110,Mission Pet Health,Silver Lake and Shore Capital Partners
Pender Veterinary Centre - Manassas,Manassas Park,VA,20111,NVA,JAB Holdings
Small Door McLean (VA),McLean,VA,22101,Small Door,Valspring Capital
Banfield Mechanicsville,Mechanicsville,VA,23111,Banfield,Mars
Bell Creek Veterinary Hospital,Mechanicsville,VA,23116,NVA,JAB Holdings
Mechanicsville Animal Hospital,Mechanicsville,VA,23111,NVA,JAB Holdings
Rutland Animal Hospital,Mechanicsville,VA,23116,NVA,JAB Holdings
Middleburg Animal Hospital,Middleburg,VA,20117,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Animal Dermatology Clinic Richmond,Midlothian,VA,23112,Animal Dermatology Clinic,Percheron Capital
Animal Medical Center,Midlothian,VA,23112,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Midlothian Commonwealth,Midlothian,VA,23112,Banfield,Mars
Brandermill Animal Hospital,Midlothian,VA,23112,VetEvolve,Varsity Healthcare Partners
Commonwealth Animal Hospital,Midlothian,VA,23112,Mission Pet Health,Silver Lake and Shore Capital Partners
Midlothian Animal Clinic,Midlothian,VA,23113,Mission Pet Health,Silver Lake and Shore Capital Partners
Petfolk Veterinary & Urgent Care - Midlothian,Midlothian,VA,23113,Petfolk,Undisclosed
Swift Creek Animal Hospital & Pet Resort,Midlothian,VA,23112,NVA,JAB Holdings
Sycamore Veterinary Hospital,Midlothian,VA,23113,Mission Pet Health,Silver Lake and Shore Capital Partners
UrgentVet Midlothian,Midlothian,VA,23113,American Veterinary Group,Oak Hill Capital
Virginia Veterinary Centers,Midlothian,VA,23112,Ethos Veterinary Health,JAB Holdings
Woodlake Animal Hospital,Midlothian,VA,23112,VetEvolve,Varsity Healthcare Partners
Caroline Animal Hospital,Milford,VA,22514,VetCor,Harvest Partners
Staunton River Veterinary Clinic,Moneta,VA,24121,Heartland Veterinary Partners,Gryphon Investors
VCA Amherst Animal Hospital,Monroe,VA,24574,VCA,Mars
Montpelier Veterinary Hospital,Montpelier,VA,23192,Veterinary Practice Partners,Audax Private Equity
Banfield Newport News,Newport News,VA,23602,Banfield,Mars
Colony Animal Hospital,Newport News,VA,23602,Blue River PetCare,Partners Group
Kiln Creek Animal Care,Newport News,VA,23602,Mission Pet Health,Silver Lake and Shore Capital Partners
UrgentVet Newport News,Newport News,VA,23602,American Veterinary Group,Oak Hill Capital
VCA Boulevard Animal Hospital,Newport News,VA,23606,VCA,Mars
Warwick Animal Hospital,Newport News,VA,23601,CareVet,Compass Group Equity Partners
Banfield Norfolk,Norfolk,VA,23502,Banfield,Mars
Dog & Cat Hospital,Norfolk,VA,23517,Mission Pet Health,Silver Lake and Shore Capital Partners
East Beach Veterinary Care,Norfolk,VA,23518,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Animal Care Center,Norfolk,VA,23505,VCA,Mars
Banfield Chesterfield,North Chesterfield,VA,23235,Banfield,Mars
Orange Veterinary Clinic,Orange,VA,22960,VetCor,Harvest Partners
Eastern Shore Animal Hospital,Painter,VA,23420,NVA,JAB Holdings
Animal Care Center Pearisburg,Pearisburg,VA,24134,VetEvolve,Varsity Healthcare Partners
Poquoson Veterinary Hospital,Poquoson,VA,23662,NVA,JAB Holdings
Churchland Animal Clinic,Portsmouth,VA,23703,Western Veterinary Partners,Tyree & D'Angelo Partners
VCA Airline Boulevard Animal Hospital,Portsmouth,VA,23707,VCA,Mars
VCA Portsmouth Animal Hospital,Portsmouth,VA,23701,VCA,Mars
Powhatan Animal Hospital,Powhatan,VA,23139,Mission Pet Health,Silver Lake and Shore Capital Partners
Tipton Ridge Veterinary Center,Pulaski,VA,24301,VetEvolve,Varsity Healthcare Partners
Blue Ridge Veterinary Associates,Purcellville,VA,20132,NVA,JAB Holdings
Blue Ridge Veterinary Blood Bank,Purcellville,VA,20132,NVA,JAB Holdings
Loudoun Veterinary Service,Purcellville,VA,20132,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA New Kent Animal Hospital,Quinton,VA,23141,VCA,Mars
Riverside Veterinary Clinic,Radford,VA,24141,Alliance Animal Health,L Catterton and LightBay Capital
Banfield Reston,Reston,VA,20190,Banfield,Mars
Livewell Animal Hospital of Reston (coming soon),Reston,VA,20190,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Short Pump,Richmond,VA,23233,Banfield,Mars
Betty Baugh's Animal Clinic,Richmond,VA,23226,Mission Pet Health,Silver Lake and Shore Capital Partners
BluePearl Pet Hospital Richmond,Richmond,VA,23230,BluePearl Pet Hospital,Mars
Bon Air Animal Hospital,Richmond,VA,23235,Innovetive Pet Care,Metalmark Capital
Broad Street Veterinary Hospital,Richmond,VA,23230,PetVet Care Centers,KKR
Bush Veterinary Neurology Service (BVNS) – Richmond - CLOSED,Richmond,VA,23230,Ethos Veterinary Health,JAB Holdings
Countryside Veterinary Clinic,Richmond,VA,23233,NVA,JAB Holdings
Helping Hands Veterinary Surgery and Dentistry of Virginia,Richmond,VA,23220,United Veterinary Care,Nordic Capital
Quioccasin Veterinary Hospital,Richmond,VA,23229,Mission Pet Health,Silver Lake and Shore Capital Partners
Radiocat - Richmond,Richmond,VA,23230,PetVet Care Centers,KKR
Stratford Hills Veterinary Center,Richmond,VA,23225,VetCor,Harvest Partners
The Oncology Service - Richmond,Richmond,VA,23228,United Veterinary Care,Nordic Capital
UrgentVet Carytown,Richmond,VA,23221,American Veterinary Group,Oak Hill Capital
UrgentVet Short Pump,Richmond,VA,23233,American Veterinary Group,Oak Hill Capital
VCA Pets First Animal Hospital,Richmond,VA,23228,VCA,Mars
Virginia Veterinary Centers,Richmond,VA,23221,Ethos Veterinary Health,JAB Holdings
Wellesley Animal Hospital,Richmond,VA,23233,Mission Pet Health,Silver Lake and Shore Capital Partners
Banfield Roanoke N,Roanoke,VA,24012,Banfield,Mars
Big Lick Veterinary Services,Roanoke,VA,24018,VetEvolve,Varsity Healthcare Partners
Emergency Veterinary & Specialty Services of Roanoke,Roanoke,VA,24019,Alliance Animal Health,L Catterton and LightBay Capital
Pet Vet ‚Äì Roanoke,Roanoke,VA,24018,NVA,JAB Holdings
Roanoke Animal Hospital,Roanoke,VA,24014,Alliance Animal Health,L Catterton and LightBay Capital
VCA Valley Animal Hospital,Roanoke,VA,24012,VCA,Mars
Franklin County Animal Hospital,Rocky Mount,VA,24151,VetCor,Harvest Partners
Ruckersville Animal Hospital,Ruckersville,VA,22968,PetVet Care Centers,KKR
Ladysmith Veterinary Hospital,Ruther Glen,VA,22546,NVA,JAB Holdings
Dulles South Veterinary Center,South Riding,VA,20152,Thrive Pet Healthcare,TSG Consumer Partners
Leavells Animal Hospital,Spotsylvania Courthouse,VA,22553,VetCor,Harvest Partners
Spotsylvania Animal Hospital,Spotsylvania Courthouse,VA,22553,VetEvolve,Varsity Healthcare Partners
Animal Dermatology Clinic Springfield,Springfield,VA,22150,Animal Dermatology Clinic,Percheron Capital
Banfield Springfield,Springfield,VA,22150,Banfield,Mars
Bush Veterinary Neurology Service - Springfield,Springfield,VA,22150,Ethos Veterinary Health,JAB Holdings
CVCA Cardiac Care For Pets,Springfield,VA,22150,Mission Pet Health,Silver Lake and Shore Capital Partners
Pet Medical Center of Springfield,Springfield,VA,22153,Community Veterinary Partners,OMERS
Radiocat - Springfield,Springfield,VA,22150,PetVet Care Centers,KKR
Springfield Animal Hospital,Springfield,VA,22150,VetCor,Harvest Partners
The Regional Veterinary Referral Center,Springfield,VA,22150,PetVet Care Centers,KKR
VCA Town Center Animal Hospital,Springfield,VA,22150,VCA,Mars
Banfield Stafford,Stafford,VA,22556,Banfield,Mars
Augusta Valley Animal Hospital,Staunton,VA,24401,NVA,JAB Holdings
Banfield Sterling,Sterling,VA,20164,Banfield,Mars
Banfield Sterling Town Center,Sterling,VA,20164,Banfield,Mars
Countryside Animal Clinic,Sterling,VA,20165,NVA,JAB Holdings
Bennetts Creek Veterinary Care,Suffolk,VA,23435,Mission Pet Health,Silver Lake and Shore Capital Partners
Caring Hands Animal Hospital- Suffolk,Suffolk,VA,23435,Veterinary Practice Partners,Audax Private Equity
North Suffolk Animal Clinic,Suffolk,VA,23435,Western Veterinary Partners,Tyree & D'Angelo Partners
Virginia Equine Imaging,The Plains,VA,20198,NVA,JAB Holdings
VCA Anderson's Corner Animal Hospital,Toano,VA,23168,VCA,Mars
Botetourt Veterinary Hospital,Troutville,VA,24175,NVA,JAB Holdings
Veterinary Emergency Services,Verona,VA,24482,VetEvolve,Varsity Healthcare Partners
Banfield Vienna,Vienna,VA,22180,Banfield,Mars
CVCA Cardiac Care For Pets,Vienna,VA,22180,Mission Pet Health,Silver Lake and Shore Capital Partners
Hope Advanced Veterinary Center,Vienna,VA,22180,PetVet Care Centers,KKR
Veterinary Surgical Centers - Vienna,Vienna,VA,22180,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Vienna Animal Hospital,Vienna,VA,22180,NVA,JAB Holdings
Willow Animal Hospital,Vint Hill,VA,20187,Veterinary Practice Partners,Audax Private Equity
Vinton Veterinary Hospital Specialty Services Center,Vinton,VA,24179,NVA,JAB Holdings
Acredale Animal Hospital - Kempsville,Virginia Beach,VA,23464,Mission Pet Health,Silver Lake and Shore Capital Partners
Acredale Animal Hospital Princess Anne,Virginia Beach,VA,23453,Mission Pet Health,Silver Lake and Shore Capital Partners
Animal Eye Care Associates - Virginia Beach,Virginia Beach,VA,23452,Community Veterinary Partners,OMERS
Banfield Hilltop,Virginia Beach,VA,23454,Banfield,Mars
Banfield Landstown,Virginia Beach,VA,23456,Banfield,Mars
Banfield Pembroke,Virginia Beach,VA,23462,Banfield,Mars
Banfield Virginia Beach CLOSED,Virginia Beach,VA,23452,Banfield,Mars
Banfield Virginia Beach Haygood,Virginia Beach,VA,23455,Banfield,Mars
Banfield Virginia Beach Kings Grant,Virginia Beach,VA,23452,Banfield,Mars
Bay Beach Veterinary Emergency Hospital,Virginia Beach,VA,23456,VetEvolve,Varsity Healthcare Partners
Bay Beach Veterinary Hospital,Virginia Beach,VA,23452,VetEvolve,Varsity Healthcare Partners
BluePearl Pet Hospital Town Center Virginia Beach,Virginia Beach,VA,23452,BluePearl Pet Hospital,Mars
Bostic Veterinary Hospital,Virginia Beach,VA,23462,Veterinary Innovative Partners,Health Enterprise Partners
CityVet - Red Mill Veterinary & Urgent Care,Virginia Beach,VA,23454,CityVet,RiverGlade Capital
CityVet - Virginia Beach,Virginia Beach,VA,23456,CityVet,RiverGlade Capital
Cosmos Corner,Virginia Beach,VA,23452,Destination Pet,L1 Health
Owl Creek Veterinary Hospital,Virginia Beach,VA,23451,NVA,JAB Holdings
Pet Care Veterinary Hospital,Virginia Beach,VA,23462,Encore Vet Group,North Castle Partners
Princess Anne Veterinary Hospital,Virginia Beach,VA,23453,NVA,JAB Holdings
Strawbridge Animal Care,Virginia Beach,VA,23454,NVA,JAB Holdings
Timberlake Veterinary Hospital,Virginia Beach,VA,23452,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Vetco Total Care - Virginia Beach,Virginia Beach,VA,23454,Vetco Total Care,Petco
Animal Care Center,Warrenton,VA,20186,Heart + Paw,Waud Capital Partners
New Baltimore Animal Hospital,Warrenton,VA,20187,NVA,JAB Holdings
Pet House Suites,Warrenton,VA,20186,Heart + Paw,Waud Capital Partners
Piedmont Pets Veterinary Care,Warrenton,VA,20186,Mission Pet Health,Silver Lake and Shore Capital Partners
Animal Hospital of Waynesboro,Waynesboro,VA,22980,EverVet Partners,Freeman Spogli and Tailwind Capital
Woodworth Animal Hospital,Waynesboro,VA,22980,CareVet,Compass Group Equity Partners
Banfield Williamsburg,Williamsburg,VA,23188,Banfield,Mars
Godspeed Animal Care,Williamsburg,VA,23188,PetVet Care Centers,KKR
VCA Merrimac Animal Hospital,Williamsburg,VA,23185,VCA,Mars
Williamsburg Veterinary Clinic,Williamsburg,VA,23185,CareVet,Compass Group Equity Partners
Banfield Winchester,Winchester,VA,22601,Banfield,Mars
Linden Heights Animal Hospital,Winchester,VA,22601,Veterinary Innovative Partners,Health Enterprise Partners
Plaza Pet Clinic,Winchester,VA,22602,Mission Pet Health,Silver Lake and Shore Capital Partners
Valley Veterinary Emergency & Referral Center,Winchester,VA,22602,Ethos Veterinary Health,JAB Holdings
Winchester Animal Hospital,Winchester,VA,22601,NVA,JAB Holdings
Banfield Woodbridge,Woodbridge,VA,22192,Banfield,Mars
Dale City Animal Hospital,Woodbridge,VA,22192,NVA,JAB Holdings
Minnieville Animal Hospital,Woodbridge,VA,22193,Suveto,Levine Leichtman Capital
VCA Woodbridge Animal Hospital,Woodbridge,VA,22192,VCA,Mars
Seven Bends Veterinary Hospital,Woodstock,VA,22664,NVA,JAB Holdings
Animal Emergency Center,Yorktown,VA,23693,Alliance Animal Health,L Catterton and LightBay Capital
Animal Eye Care Associates - Newport News,Yorktown,VA,23693,Community Veterinary Partners,OMERS
Animal Medical Care Center,Yorktown,VA,23693,NVA,JAB Holdings
Magruder-Tabb Animal Clinic,Yorktown,VA,23693,VetEvolve,Varsity Healthcare Partners
Pine Meadow Veterinary Hospital,Yorktown,VA,23693,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Salty Paws Veterinary Hospital,Yorktown,VA,23693,VetCor,Harvest Partners
Mount Anthony Veterinary Hospital,Bennington,VT,05201,VetCor,Harvest Partners
West Mountain Animal Hospital,Bennington,VT,05201,NVA,JAB Holdings
Onion River Animal Hospital,Berlin,VT,05641,Veterinary Practice Partners,Audax Private Equity
VCA Windham Animal Hospital,Brattleboro,VT,05301,VCA,Mars
Bristol Animal Hospital,Bristol,VT,05443,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Petit Brook Veterinary Clinic,Colchester,VT,05446,Rarebreed Veterinary Partners,Revelstoke Capital Partners
VCA Fitzgerald Animal Hospital,Colchester,VT,05446,VCA,Mars
Essex Veterinary Center,Essex Junction,VT,05452,Blue River PetCare,Partners Group
Mountain View Animal Hospital,Essex Junction,VT,05452,Blue River PetCare,Partners Group
Animal Hospital Of Hinesburg,Hinesburg,VT,05461,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Milton Veterinary Hospital,Milton,VT,05468,VetCor,Harvest Partners
Sequist Animal Hospital,Morristown,VT,05661,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Rutland Veterinary Clinic and Surgical Center,Rutland,VT,05701,Encore Vet Group,North Castle Partners
Ark Veterinary Hospital,Shelburne,VT,05482,VetCor,Harvest Partners
Dorset Street Animal Hospital,South Burlington,VT,05403,Veterinary Practice Partners,Audax Private Equity
Orchard Veterinary Hospital,South Burlington,VT,05403,VetCor,Harvest Partners
VCA Brown Animal Hospital,South Burlington,VT,05403,VCA,Mars
Springfield Animal Hospital,Springfield,VT,05156,VetCor,Harvest Partners
Tanneberger Veterinary Hospital,St Albans City,VT,05478,VetCor,Harvest Partners
Kingdom Animal Hospital,St. Johnsbury,VT,05819,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Waterbury Veterinary Hospital,Waterbury Center,VT,05677,NVA,JAB Holdings
Norwich Regional Animal Hospital,White River Junction,VT,05001,VetCor,Harvest Partners
Veremedy Pet Hospital,White River Junction,VT,05001,VetCor,Harvest Partners
Burlington Emergency and Veterinary Specialists,Williston,VT,05495,Rarebreed Veterinary Partners,Revelstoke Capital Partners
Long Trail Veterinary Center,Williston,VT,05495,VetCor,Harvest Partners
Peak Veterinary Referral Center,Williston,VT,05495,Ethos Veterinary Health,JAB Holdings
River Cove Animal Hospital,Williston,VT,05495,Blue River PetCare,Partners Group
Veremedy Pet Hospital,Woodstock,VT,05091,VetCor,Harvest Partners
Advanced Care Animal Clinic,Arlington,WA,98223,PetVet Care Centers,KKR
Auburn South Veterinary Hospital,Auburn,WA,98002,Blue River PetCare,Partners Group
VCA Battle Ground Animal Hospital,Battle Ground,WA,98604,VCA,Mars
Belltowne Veterinary Center,Belfair,WA,98528,VetCor,Harvest Partners
Aerowood Animal Hospital,Bellevue,WA,98007,PetVet Care Centers,KKR
Animal Hospital of Newport Hills,Bellevue,WA,98006,NVA,JAB Holdings
Banfield Bellevue Overlake,Bellevue,WA,98007,Banfield,Mars
Bellevue Veterinary Emergency & Specialty,Bellevue,WA,98005,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Cat Care Clinic,Bellevue,WA,98004,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
VCA Bellevue Veterinary Hospital,Bellevue,WA,98005,VCA,Mars
Banfield Bellingham,Bellingham,WA,98226,Banfield,Mars
Chuckanut Feline Center,Bellingham,WA,98225,PetVet Care Centers,KKR
Maplewood Animal Hospital,Bellingham,WA,98225,NVA,JAB Holdings
Mountain Veterinary Hospital,Bellingham,WA,98226,Western Veterinary Partners,Tyree & D'Angelo Partners
Northwest Equine Veterinary Associates,Black Diamond,WA,98010,NVA,JAB Holdings
BoosterPet Veterinary Care & Urgent Care in Bonney Lake,Bonney Lake,WA,98391,BoosterPet,Privately held multi-location veterinary company
Lake Tapps Veterinary Hospital,Bonney Lake,WA,98391,WellHaven Pet Health,Capricorn Healthcare
Banfield Bothell,Bothell,WA,98021,Banfield,Mars
Canyon Park Veterinary Hospital,Bothell,WA,98021,CareVet,Compass Group Equity Partners
Center for Bird and Exotic Animal Medicine,Bothell,WA,98011,NVA,JAB Holdings
Doggy Haven Resort,Bothell,WA,98012,Destination Pet,L1 Health
Livewell Animal Urgent Care of Bothell,Bothell,WA,98011,Mission Pet Health,Silver Lake and Shore Capital Partners
North Creek Pet Hospital,Bothell,WA,98012,NVA,JAB Holdings
Petcare Hospital & Wellness Center,Bothell,WA,98012,Thrive Pet Healthcare,TSG Consumer Partners
Buckley Veterinary Hospital,Buckley,WA,98321,WellHaven Pet Health,Capricorn Healthcare
Normandy Animal Hospital,Burien,WA,98148,WellHaven Pet Health,Capricorn Healthcare
VCA Five Corners Animal Hospital,Burien,WA,98148,VCA,Mars
Banfield Burlington,Burlington,WA,98233,Banfield,Mars
Chuckanut Valley Veterinary Clinic,Burlington,WA,98233,PetVet Care Centers,KKR
Cascade West Veterinary Hospital,Centralia,WA,98531,Thrive Pet Healthcare,TSG Consumer Partners
Chewelah Veterinary Clinic,Chewelah,WA,99109,Western Veterinary Partners,Tyree & D'Angelo Partners
VCA Covington Animal Hospital,Covington,WA,98042,VCA,Mars
Banfield Des Moines,Des Moines,WA,98198,Banfield,Mars
Des Moines Veterinary Hospital,Des Moines,WA,98198,PetVet Care Centers,KKR
Saltwater Animal Hospital,Des Moines,WA,98198,Mission Pet Health,Silver Lake and Shore Capital Partners
Marine View Veterinary Hospital,DesMoines,WA,98198,NVA,JAB Holdings
DuPont Veterinary Center,DuPont,WA,98327,VetCor,Harvest Partners
Cherry Valley Veterinary Hospital,Duvall,WA,98019,Western Veterinary Partners,Tyree & D'Angelo Partners
Edmonds-Westgate Veterinary Hospital,Edmonds,WA,98020,Western Veterinary Partners,Tyree & D'Angelo Partners
Perrinville Animal Hospital,Edmonds,WA,98026,VetCor,Harvest Partners
Banfield Everett,Everett,WA,98208,Banfield,Mars
Broadway Animal Hospital,Everett,WA,98201,PetVet Care Centers,KKR
Diamond Veterinary Hospital,Everett,WA,98201,NVA,JAB Holdings
Northwest Animal Hospital Care,Everett,WA,98208,Thrive Pet Healthcare,TSG Consumer Partners
VCA Silver Lake Animal Hospital,Everett,WA,98208,VCA,Mars
Banfield Federal Way,Federal Way,WA,98003,Banfield,Mars
BoosterPet Veterinary & Urgent Care Federal Way,Federal Way,WA,98023,BoosterPet,Privately held multi-location veterinary company
Sacajawea Veterinary Hospital,Federal Way,WA,98023,NVA,JAB Holdings
VEG Federal Way,Federal Way,WA,98003,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Whatcom Veterinary Hospital,Ferndale,WA,98248,AmeriVet,AEA Investors and Abu Dhabi Investment Authority (ADIA)
Evergreen Animal Hospital,Gig Harbor,WA,98335,NVA,JAB Holdings
Harbor Animal Hospital,Gig Harbor,WA,98332,NVA,JAB Holdings
Minter Veterinary Hospital,Gig Harbor,WA,98329,BoosterPet,Privately held multi-location veterinary company
PetZen Animal Wellness Center,Gig Harbor,WA,98335,NVA,JAB Holdings
Puget Sound Veterinary Specialty & Emergency,Gig Harbor,WA,98335,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Purdy Veterinary Hospital,Gig Harbor,WA,98332,VetCor,Harvest Partners
Uptown Animal Hospital,Gig Harbor,WA,98335,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
All Creatures Animal Hospital,Graham,WA,98338,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Raintree Veterinary Center,Hoquiam,WA,98550,PetVet Care Centers,KKR
Alpine Animal Hospital,Issaquah,WA,98027,Thrive Pet Healthcare,TSG Consumer Partners
Banfield Issaquah,Issaquah,WA,98027,Banfield,Mars
Cobblestone Animal Hospital,Issaquah,WA,98027,VetCor,Harvest Partners
Meadows Cat Hospital,Issaquah,WA,98027,VetCor,Harvest Partners
Riverside Animal Hospital,Kelso,WA,98626,VetCor,Harvest Partners
Kenmore Veterinary Hospital,Kenmore,WA,98028,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Banfield Kennewick,Kennewick,WA,99336,Banfield,Mars
Horse Heaven Hills Pet Urgent Care & Veterinary Center,Kennewick,WA,99336,Veterinary Practice Partners,Audax Private Equity
The Fix Machine Animal Health Clinic,Kennewick,WA,99336,VetCor,Harvest Partners
VCA Meadow Hills Animal Hospital,Kennewick,WA,99336,VCA,Mars
VCA Southridge Animal Hospital,Kennewick,WA,99338,VCA,Mars
VCA Vineyard Animal Hospital,Kennewick,WA,99336,VCA,Mars
Clover Veterinary Hospital,Kent,WA,98031,PetVet Care Centers,KKR
Lake Meridian Animal Hospital,Kent,WA,98030,NVA,JAB Holdings
McMonigal Veterinary Hospital,Kent,WA,98032,Blue River PetCare,Partners Group
Reber Ranch Veterinary Hospital,Kent,WA,98042,Mission Pet Health,Silver Lake and Shore Capital Partners
Apple Tree Cove Animal Hospital,Kingston,WA,98346,NVA,JAB Holdings
BluePearl Pet Hospital Kirkland,Kirkland,WA,98034,BluePearl Pet Hospital,Mars
BoosterPet Veterinary & Urgent Care Kirkland,Kirkland,WA,98034,BoosterPet,Privately held multi-location veterinary company
Evergreen Veterinary Hospital,Kirkland,WA,98034,VetCor,Harvest Partners
Juanita Bay Veterinary Hospital,Kirkland,WA,98033,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Livewell Animal Hospital of Kirkland,Kirkland,WA,98033,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Rose Hill Animal Hospital,Kirkland,WA,98033,VCA,Mars
Banfield Lacey,Lacey,WA,98503,Banfield,Mars
Banfield Pet Hospital - Pacific,Lacey,WA,98503,Banfield,Mars
Companion Veterinary Hospital,Lacey,WA,98503,Western Veterinary Partners,Tyree & D'Angelo Partners
Hawks Prairie Veterinary Hospital,Lacey,WA,98516,VetCor,Harvest Partners
Mountain View Veterinary Hospital,Lacey,WA,98513,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
Olympia Pet Emergency,Lacey,WA,98503,PetVet Care Centers,KKR
Pinehurst Veterinary Hospital and Surgical Center,Lacey,WA,98503,Mission Pet Health,Silver Lake and Shore Capital Partners
VCA Lacey Animal Hospital,Lacey,WA,98503,VCA,Mars
Frontier Village Veterinary Clinic,Lake Stevens,WA,98258,NVA,JAB Holdings
Lake Stevens Animal Hospital,Lake Stevens,WA,98258,BoosterPet,Privately held multi-location veterinary company
Banfield Lakewood,Lakewood,WA,98499,Banfield,Mars
BluePearl Pet Hospital Tacoma Lakewood,Lakewood,WA,98499,BluePearl Pet Hospital,Mars
Chambers Creek Veterinary Hospital,Lakewood,WA,98499,NVA,JAB Holdings
The Pet Doctor,Lakewood,WA,98499,VetCor,Harvest Partners
Dermatology for Animals - Liberty Lake,Liberty Lake,WA,99019,Thrive Pet Healthcare,TSG Consumer Partners
Legacy Animal Medical Center,Liberty Lake,WA,99019,PetVet Care Centers,KKR
Liberty Lake Veterinary Center,Liberty Lake,WA,99019,VetCor,Harvest Partners
Lower Columbia Veterinary Hospital,Longview,WA,98632,Western Veterinary Partners,Tyree & D'Angelo Partners
VCA Ocean Beach Animal Hospital,Longview,WA,98632,VCA,Mars
Animal Dermatology Clinic Lynnwood,Lynnwood,WA,98037,Animal Dermatology Clinic,Percheron Capital
Banfield Lynnwood,Lynnwood,WA,98036,Banfield,Mars
Helping Hands Veterinary Clinic,Lynnwood,WA,98037,VetCor,Harvest Partners
Northpointe Animal Hospital,Lynnwood,WA,98087,NVA,JAB Holdings
VCA Alderwood Companion Animal Hospital,Lynnwood,WA,98036,VCA,Mars
VCA Meadowdale Animal Hospital,Lynnwood,WA,98037,VCA,Mars
VEG Lynnwood,Lynnwood,WA,98036,VEG (Veterinary Emergency Group),D1 Capital & Fidelity
Veterinary Specialty Center of Seattle,Lynnwood,WA,98036,Thrive Pet Healthcare,TSG Consumer Partners
Wilderness Animal Hospital,Maple Valley,WA,98038,Lakefield Veterinary Group,Desmarais family and Peloton Capital Management
VCA Animal Medical Center,Marysville,WA,98270,VCA,Mars
Mt Spokane Veterinary Hospital,Mead,WA,99021,VetCor,Harvest Partners
VCA Peone Pines Animal Hospital,Mead,WA,99021,VCA,Mars
Medical Lake Veterinary Hospital,Medical Lake,WA,99022,Mission Pet Health,Silver Lake and Shore Capital Partners
Island Animal Hospital and Urgent Care Services,Mercer Island,WA,98040,Cara Veterinary,"Family investment groups, including the Haughey family"
Island Cats Veterinary Hospital,Mercer Island,WA,98040,Western Veterinary Partners,Tyree & D'Angelo Partners
Banfield Mill Creek,Mill Creek,WA,98012,Banfield,Mars
Edgewood Veterinary Clinic,Milton,WA,98354,VetCor,Harvest Partners
Cascade Animal Clinic,Monroe,WA,98272,NVA,JAB Holdings
Evergreen Equine Veterinary Practice,Monroe,WA,98272,NVA,JAB Holdings
Brady Veterinary Hospital,Montesano,WA,98563,NVA,JAB Holdings
Grays Harbor Veterinary Service,Montesano,WA,98563,Western Veterinary Partners,Tyree & D'Angelo Partners
College Way Animal Hospital,Mount Vernon,WA,98273,Thrive Pet Healthcare,TSG Consumer Partners
Northwest Veterinary Clinic of Mount Vernon,Mount Vernon,WA,98273,PetVet Care Centers,KKR
Parker Way Veterinary Clinic,Mount Vernon,WA,98273,VetCor,Harvest Partners
Brier Veterinary Hospital,Mountlake Terrace,WA,98043,Western Veterinary Partners,Tyree & D'Angelo Partners
